Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
s1052bd77,10.0,13.0,81,1.0,-0.7715629618599039,0.16049382716049382
s151f8e85,7.0,25.0,65,3.0,-0.5459517187939477,0.38461538461538464
s18f414c5,16.0,29.0,140,2.0,2.2576351006930224,0.20714285714285716
s19184a3e,2.0,20.0,20,2.0,-0.5115050723280073,1.0
s1a3b7cd7,14.0,73.0,105,7.0,1.5987598455709588,0.6952380952380952
s1b801c67,18.0,31.0,149,1.0,0.4335785439334579,0.2080536912751678
s20d500d1,17.0,92.0,220,6.0,0.893917095510302,0.41818181818181815
s21f8d764,16.0,101.0,184,5.0,-0.14858955545900573,0.5489130434782609
s22236310,15.0,65.0,104,6.0,0.053716783559767,0.625
s225ff55b,16.0,49.0,104,4.0,-0.46677811098695804,0.47115384615384615
s2301c49a,9.0,29.0,64,1.0,-0.384813984080713,0.453125
s28f0c24a,9.0,45.0,58,7.0,-0.4821930436836323,0.7758620689655172
s29a20ed0,9.0,15.0,51,1.0,-0.3447709450508852,0.29411764705882354
s29cd7f2a,17.0,98.0,144,7.0,-0.27635064186960917,0.6805555555555556
s2c243bc7,18.0,128.0,234,3.0,-0.14045915835308553,0.5470085470085471
s300721cc,13.0,99.0,99,13.0,-0.17156224931401376,1.0
s32d4e07d,15.0,58.0,177,1.0,-0.4393737929225211,0.327683615819209
s3354fe5c,16.0,52.0,129,4.0,0.6896393642524095,0.40310077519379844
s34010ab4,18.0,154.0,249,4.0,0.2840057725163976,0.6184738955823293
s34b3a29b,9.0,15.0,62,2.0,-0.4081597854668908,0.24193548387096775
s3b1ed1f,12.0,60.0,86,5.0,0.4684311736444947,0.6976744186046512
s3b3bf8f0,15.0,113.0,131,11.0,-0.3472293713123275,0.8625954198473282
s3bab2a30,17.0,100.0,192,4.0,-0.01598483232744008,0.5208333333333334
s3ee641f5,10.0,28.0,91,3.0,-0.3351299513738068,0.3076923076923077
s413e2b5b,16.0,165.0,219,6.0,-0.31380284933088076,0.7534246575342466
s42eea8e,17.0,14.0,144,1.0,-0.3628238244317768,0.09722222222222222
s4301681f,9.0,41.0,67,4.0,0.18746191930521588,0.6119402985074627
s44273ab3,18.0,114.0,174,9.0,0.17011619409828904,0.6551724137931034
s444ca0b5,15.0,91.0,119,8.0,-0.18135587983198534,0.7647058823529411
s457e605f,16.0,108.0,182,5.0,-0.4578495564849785,0.5934065934065934
s45888ffd,12.0,36.0,88,2.0,1.8183039663971525,0.4090909090909091
s4a9a7d71,11.0,46.0,88,3.0,0.8848238524348501,0.5227272727272727
s4b9362f,10.0,51.0,69,5.0,0.5190605471706473,0.7391304347826086
s4c39e297,13.0,67.0,84,7.0,-0.3206505244297563,0.7976190476190477
s4e276bbf,2.0,20.0,20,2.0,-0.16691855695975966,1.0
s4e8cbfa8,11.0,33.0,79,3.0,2.472734487169508,0.4177215189873418
s51e80f02,6.0,37.0,55,2.0,5.64635062525228,0.6727272727272727
s52523cdd,8.0,19.0,59,1.0,-0.9245435719256596,0.3220338983050847
s529b3014,13.0,42.0,89,3.0,-0.34146175998259176,0.47191011235955055
s53081fc8,9.0,47.0,72,5.0,-0.4562604274378983,0.6527777777777778
s550e55c9,15.0,9.0,113,1.0,-0.1161732290231777,0.07964601769911504
s558af3fe,18.0,112.0,184,7.0,-0.4731399457037845,0.6086956521739131
s5a2abbfc,18.0,122.0,184,9.0,-0.29040655343298954,0.6630434782608695
s5a8b22a9,7.0,6.0,55,1.0,1.8633757122408223,0.10909090909090909
s5acfd8f8,14.0,50.0,108,3.0,0.4706541674370292,0.46296296296296297
s5b0669a,18.0,88.0,139,9.0,-0.18494301124161316,0.6330935251798561
s5b712c54,13.0,40.0,125,2.0,-0.3797916917064802,0.32
s5bab40e1,17.0,128.0,169,7.0,1.9370777592575714,0.757396449704142
s5cdfa124,13.0,116.0,170,6.0,0.08522767732304304,0.6823529411764706
s5e4176cd,17.0,138.0,167,11.0,-0.1862546635691316,0.8263473053892215
s5f21f63f,11.0,61.0,105,7.0,0.36501022449611137,0.580952380952381
s5ff93cfe,17.0,61.0,130,4.0,-0.6294740456409932,0.46923076923076923
s60bb29eb,10.0,50.0,77,7.0,-0.34722670263923766,0.6493506493506493
s627c2f6b,14.0,35.0,102,2.0,-0.12792825437044197,0.3431372549019608
s62ae4b57,15.0,29.0,104,1.0,3.436122058140416,0.27884615384615385
s6467d86c,11.0,21.0,78,1.0,-0.2230962696506614,0.2692307692307692
s66b8ba90,12.0,51.0,128,2.0,-0.3231029534912169,0.3984375
s69297036,13.0,55.0,87,6.0,-0.08592417351633225,0.632183908045977
s69ce06b5,9.0,62.0,75,7.0,0.616146479760404,0.8266666666666667
s6d009345,14.0,55.0,144,1.0,2.6997544319893447,0.3819444444444444
s6e533876,11.0,42.0,62,6.0,-0.49843019469600675,0.6774193548387096
s6e6f30b1,4.0,37.0,40,3.0,1.7799687882561932,0.925
s713c2320,6.0,35.0,60,2.0,-0.9459797777557779,0.5833333333333334
s73a2e85b,15.0,83.0,165,4.0,1.066412517592044,0.503030303030303
s75bba8a0,15.0,78.0,117,7.0,-0.022174367959366496,0.6666666666666666
s76f9083,12.0,40.0,82,4.0,-0.24312136728549386,0.4878048780487805
s781102af,12.0,67.0,86,6.0,1.8171716485684186,0.7790697674418605
s78768cf8,17.0,153.0,178,13.0,-0.5636929260974709,0.8595505617977528
s78e91ddf,13.0,24.0,110,1.0,6.866228094934086,0.21818181818181817
s794c67f4,16.0,25.0,161,2.0,-0.5464666512287969,0.15527950310559005
s796d1cb8,18.0,158.0,204,11.0,-0.023173727338608594,0.7745098039215687
s7b6237d4,18.0,104.0,139,11.0,1.957992278209822,0.7482014388489209
s7c71a907,9.0,54.0,66,5.0,-0.46791035629631555,0.8181818181818182
s812bc302,15.0,14.0,117,1.0,-0.0225067613963618,0.11965811965811966
s84114702,10.0,7.0,70,1.0,0.0794753377208994,0.1
s84fca6e9,12.0,61.0,92,5.0,1.977251092935613,0.6630434782608695
s85dcb669,12.0,86.0,125,5.0,-0.14808768615471152,0.688
s85e1ad05,9.0,42.0,67,3.0,1.0750735792023536,0.6268656716417911
s8a2e471e,12.0,32.0,116,3.0,1.245196011842695,0.27586206896551724
s8c39f80d,14.0,35.0,100,3.0,-0.2452929843323454,0.35
s8d573f28,12.0,37.0,110,2.0,-0.5669994460361591,0.33636363636363636
s8f99f847,16.0,44.0,123,4.0,-0.3810341113560663,0.35772357723577236
s91c3d400,9.0,64.0,141,3.0,0.5404300730891459,0.45390070921985815
s93f717da,9.0,8.0,85,1.0,-0.110304725073164,0.09411764705882353
s9a777b2c,16.0,64.0,104,7.0,-0.39985167464441673,0.6153846153846154
s9ad8fb4d,13.0,72.0,140,3.0,-0.13101864014176792,0.5142857142857142
s9b977a97,16.0,68.0,174,2.0,-0.6564626505096363,0.39080459770114945
s9c529b1,18.0,154.0,214,12.0,-0.2061179904562848,0.719626168224299
s9f5488c7,17.0,163.0,180,15.0,0.37461319400908455,0.9055555555555556
sa0aa7c40,7.0,33.0,61,4.0,-0.5175203009052636,0.5409836065573771
sa0d6bbd4,14.0,89.0,122,8.0,-0.19771405084594929,0.7295081967213115
sa4701ec6,10.0,52.0,74,5.0,-0.6954644452385876,0.7027027027027027
sa48dc901,11.0,35.0,72,3.0,-0.6464990549033086,0.4861111111111111
sa636f0f6,16.0,53.0,160,6.0,0.12595669504542603,0.33125
sa882b5fb,18.0,134.0,198,7.0,-0.5797322577608715,0.6767676767676768
sa93f2311,12.0,66.0,104,3.0,0.979469177705385,0.6346153846153846
sa99a42f2,16.0,111.0,114,15.0,-0.03873009984032006,0.9736842105263158
sab1f72b8,18.0,136.0,173,10.0,-0.22375049515326575,0.7861271676300579
sad778757,17.0,113.0,174,5.0,-0.16044764733007547,0.6494252873563219
sae244aca,16.0,92.0,164,6.0,-0.6672152092251795,0.5609756097560976
sae342444,2.0,10.0,20,1.0,-0.9486056163992412,0.5
sae75f02e,14.0,58.0,114,4.0,-0.07036647200039411,0.5087719298245614
saf32c02b,17.0,133.0,197,6.0,0.4733889545323288,0.6751269035532995
saf379354,2.0,17.0,20,1.0,0.3224939069575101,0.85
