Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
s116f876e,30.0,263.0,299,21.0,-0.07247336362666805,0.8795986622073578
s121e58a1,28.0,299.0,299,28.0,-0.15383890096489025,1.0
s126cf4ce,27.0,274.0,294,23.0,-0.0559167698477653,0.9319727891156463
s128685a7,28.0,247.0,299,21.0,0.08276690637286628,0.8260869565217391
s12bfba84,28.0,282.0,299,24.0,0.13592647396047128,0.9431438127090301
s14309695,44.0,326.0,425,27.0,0.44050274260614697,0.7670588235294118
s1436d556,28.0,294.0,299,27.0,0.10341093778935181,0.9832775919732442
s14dac1e7,27.0,272.0,294,23.0,-0.21670737179815033,0.9251700680272109
s15791c4c,31.0,294.0,304,28.0,-0.3026383011452208,0.9671052631578947
s174a2e92,28.0,290.0,299,27.0,-0.20811894645360343,0.9698996655518395
s17b7ccd2,29.0,256.0,289,20.0,-0.2376628233864185,0.8858131487889274
s17ba9ad5,27.0,207.0,289,20.0,-0.4652142221449195,0.7162629757785467
s194a342e,28.0,292.0,299,25.0,-0.4634654228055646,0.9765886287625418
s1a2bc1e2,27.0,260.0,294,17.0,-0.18576755825316363,0.8843537414965986
s1a54a266,28.0,261.0,279,21.0,-0.3450673458198541,0.9354838709677419
s1b112c16,28.0,259.0,274,24.0,-0.2008296019615138,0.9452554744525548
s1b50ba0f,27.0,210.0,224,22.0,0.17236092943270226,0.9375
s1baeda84,29.0,165.0,289,9.0,-0.3107667590028893,0.5709342560553633
s1bf91bb0,27.0,229.0,264,20.0,-0.02134280662911984,0.8674242424242424
s1c72596e,27.0,290.0,304,22.0,-0.17735862328732388,0.9539473684210527
s1cedb8ee,29.0,278.0,294,25.0,-0.3543535116163653,0.9455782312925171
s1ddb3f19,31.0,294.0,304,28.0,1.9094957039991949,0.9671052631578947
s1ddfd095,27.0,283.0,294,21.0,-0.4545055992088447,0.9625850340136054
s1e4e2c4e,27.0,263.0,294,23.0,-0.11184990548714499,0.8945578231292517
s20bc958,31.0,296.0,304,28.0,-0.10974350905097226,0.9736842105263158
s20ffbd50,28.0,298.0,299,27.0,0.1823768672572897,0.9966555183946488
s22885fe6,28.0,285.0,299,23.0,-0.2688720762076315,0.9531772575250836
s2304e4d8,45.0,259.0,498,19.0,1.3086026042386052,0.5200803212851406
s23ce8788,28.0,250.0,299,20.0,-0.39275289705145844,0.8361204013377926
s24722562,30.0,270.0,294,22.0,1.1747572774739063,0.9183673469387755
s2566bd69,28.0,283.0,299,26.0,0.11500904029710254,0.9464882943143813
s25964280,30.0,236.0,299,16.0,-0.09073315402199042,0.7892976588628763
s25e5a71,31.0,244.0,304,18.0,-0.522246150639234,0.8026315789473685
s26cf9c17,27.0,217.0,279,17.0,-0.48757896395527317,0.7777777777777778
s26e33d58,28.0,275.0,299,22.0,0.055122152618467396,0.919732441471572
s2752b03e,27.0,254.0,272,19.0,-0.39225515407525363,0.9338235294117647
s29e02a9c,28.0,295.0,299,26.0,0.014051142421474122,0.9866220735785953
s2a87dd94,28.0,281.0,299,24.0,0.3717351846536148,0.939799331103679
s2aa2578a,30.0,290.0,299,28.0,-0.5725039142414035,0.9698996655518395
s2ba2db31,28.0,295.0,299,27.0,-0.36426592140700137,0.9866220735785953
s2e6eb06b,28.0,273.0,299,24.0,0.12834112032422548,0.9130434782608695
s2e8bb09,29.0,242.0,284,17.0,-0.3046342327983506,0.852112676056338
s2f016d92,31.0,266.0,304,20.0,0.06512359944674542,0.875
s3108ec56,28.0,295.0,299,27.0,-0.25231063353194727,0.9866220735785953
s310ea7c2,28.0,283.0,299,23.0,-0.3179050151994276,0.9464882943143813
s31915baa,28.0,265.0,284,20.0,-0.473875802844829,0.9330985915492958
s322c45ca,27.0,279.0,289,25.0,-0.5082536762665001,0.9653979238754326
s32763c8a,27.0,280.0,294,22.0,-0.39117480044403946,0.9523809523809523
s338167e5,27.0,297.0,304,23.0,0.551193060062522,0.9769736842105263
s346ad97f,29.0,248.0,274,18.0,0.07404132637542393,0.9051094890510949
s37da858b,28.0,292.0,299,25.0,-0.2298786751645771,0.9765886287625418
s382917a8,27.0,285.0,309,21.0,-0.1533418887987171,0.9223300970873787
s38b2fae3,28.0,299.0,299,28.0,-0.21197520825225186,1.0
s39c1e811,27.0,251.0,294,20.0,0.0009021110978526536,0.8537414965986394
s39c9af61,31.0,301.0,304,28.0,-0.5637561063203542,0.9901315789473685
s39f741b9,27.0,284.0,289,24.0,-0.4315020558868512,0.9826989619377162
s3e5e03a7,28.0,299.0,299,28.0,0.5480901625674022,1.0
s3ef19002,27.0,264.0,264,27.0,-0.3745852744624383,1.0
s3fa7a4aa,35.0,234.0,354,20.0,0.10142400678223833,0.6610169491525424
s3fc42e37,27.0,284.0,294,25.0,-0.1369010231948757,0.9659863945578231
s3fe3445,28.0,293.0,299,25.0,0.8821091679605343,0.979933110367893
s401b611e,28.0,278.0,299,21.0,0.21347339602145624,0.9297658862876255
s41006e6b,27.0,248.0,264,22.0,0.33810605717434933,0.9393939393939394
